danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Artist,Song
0.573,0.593,6,-7.225,1,0.0299,0.114,2.65e-06,0.122,0.425,159.978,audio_features,4RSXGzmHGPsKncVonX7NlX,spotify:track:4RSXGzmHGPsKncVonX7NlX,https://api.spotify.com/v1/tracks/4RSXGzmHGPsKncVonX7NlX,https://api.spotify.com/v1/audio-analysis/4RSXGzmHGPsKncVonX7NlX,231547,4,"Ed Sheeran
",One Life
0.709,0.324,2,-10.975,1,0.0444,0.79,0.0,0.1,0.47,99.906,audio_features,5fmXV5ft9Xj3yVdSVbv8Mu,spotify:track:5fmXV5ft9Xj3yVdSVbv8Mu,https://api.spotify.com/v1/tracks/5fmXV5ft9Xj3yVdSVbv8Mu,https://api.spotify.com/v1/audio-analysis/5fmXV5ft9Xj3yVdSVbv8Mu,248867,4,"Ed Sheeran
",Penguins
0.743,0.807,3,-5.917,1,0.0538,0.404,5.49e-06,0.0723,0.721,145.01,audio_features,3mlFWcdPrsNmymO94D2TxI,spotify:track:3mlFWcdPrsNmymO94D2TxI,https://api.spotify.com/v1/tracks/3mlFWcdPrsNmymO94D2TxI,https://api.spotify.com/v1/audio-analysis/3mlFWcdPrsNmymO94D2TxI,214493,4,"Ed Sheeran
",I Will Remember You
0.334,0.307,0,-8.522,1,0.033,0.818,5.55e-05,0.362,0.426,169.53,audio_features,2hRSG4zE2iHtYmPqtxmbNv,spotify:track:2hRSG4zE2iHtYmPqtxmbNv,https://api.spotify.com/v1/tracks/2hRSG4zE2iHtYmPqtxmbNv,https://api.spotify.com/v1/audio-analysis/2hRSG4zE2iHtYmPqtxmbNv,176813,4,"Ed Sheeran
",Welcome To The World
0.528,0.309,0,-7.398,1,0.0329,0.924,2.1e-06,0.282,0.307,133.83,audio_features,3uKJrBPOLOb9oYcuqADzu0,spotify:track:3uKJrBPOLOb9oYcuqADzu0,https://api.spotify.com/v1/tracks/3uKJrBPOLOb9oYcuqADzu0,https://api.spotify.com/v1/audio-analysis/3uKJrBPOLOb9oYcuqADzu0,185422,4,"Ed Sheeran
",The Joker And The Queen (feat. Taylor Swift)
0.693,0.643,4,-5.867,0,0.0828,0.138,0.0,0.108,0.477,95.055,audio_features,4uMC2yWq68zqFwp3yd29fu,spotify:track:4uMC2yWq68zqFwp3yd29fu,https://api.spotify.com/v1/tracks/4uMC2yWq68zqFwp3yd29fu,https://api.spotify.com/v1/audio-analysis/4uMC2yWq68zqFwp3yd29fu,163450,4,"Ed Sheeran
",2step (feat. Lil Baby)
0.59,0.849,11,-4.691,0,0.0792,0.0305,0.0,0.11,0.178,131.018,audio_features,3dw5lPI963l80EzaBoHUkh,spotify:track:3dw5lPI963l80EzaBoHUkh,https://api.spotify.com/v1/tracks/3dw5lPI963l80EzaBoHUkh,https://api.spotify.com/v1/audio-analysis/3dw5lPI963l80EzaBoHUkh,250763,4,"Ed Sheeran
",Bad Habits (feat. Bring Me The Horizon)
0.956,0.417,7,-7.892,0,0.0926,0.572,0.00071,0.0782,0.714,108.015,audio_features,4ZF7ug5UnMKQJrEpS1pItU,spotify:track:4ZF7ug5UnMKQJrEpS1pItU,https://api.spotify.com/v1/tracks/4ZF7ug5UnMKQJrEpS1pItU,https://api.spotify.com/v1/audio-analysis/4ZF7ug5UnMKQJrEpS1pItU,187111,4,"Ed Sheeran
",Peru
0.73,0.701,7,-5.318,1,0.0447,0.273,0.0,0.0657,0.522,94.97,audio_features,1OHr4J5rZIfkqCzMdDGAAO,spotify:track:1OHr4J5rZIfkqCzMdDGAAO,https://api.spotify.com/v1/tracks/1OHr4J5rZIfkqCzMdDGAAO,https://api.spotify.com/v1/audio-analysis/1OHr4J5rZIfkqCzMdDGAAO,154453,4,"Ed Sheeran
",2step (feat. Leto)
0.727,0.69,4,-5.063,0,0.0721,0.16,0.0,0.137,0.685,94.935,audio_features,0ZDUncTfyMQ3X6rEiuhxPQ,spotify:track:0ZDUncTfyMQ3X6rEiuhxPQ,https://api.spotify.com/v1/tracks/0ZDUncTfyMQ3X6rEiuhxPQ,https://api.spotify.com/v1/audio-analysis/0ZDUncTfyMQ3X6rEiuhxPQ,154160,4,"Ed Sheeran
",2step (feat. Ultimo)
